facility_type,facility_name,facility_id
教育,【幼儿园】杏伟实验幼儿园,fs0306f013
教育,【幼儿园】杏坛英杰思国际幼儿园,fs0306f014
教育,【幼儿园】齐杏幼儿园,fs0306f015
教育,【小学】昌教小学,fs0306f016
教育,【幼儿园】杏坛镇基础幼儿园,fs0306f017
教育,【幼儿园】诚智基出幼儿园,fs0306f018
教育,【小学】杏坛中心小学,fs0306f019
教育,【幼儿园】润苑幼儿园,fs0306f020
教育,【幼儿园】马齐幼儿园,fs0306f021
教育,【幼儿园】何日东幼儿园,fs0306f022
教育,【小学】西岸何日东小学,fs0306f023
教育,【幼儿园】雁园幼儿园,fs0306f024
教育,【幼儿园】昌教幼儿园,fs0306f025
教育,【中学】梁銶琚中学,fs0306f026
教育,【小学】杏坛小学,fs0306f027
教育,【中学】林文恩中学,fs0306f028
教育,【幼儿园】中心幼儿园,fs0306f029
教育,【中学】杏坛中学,fs0306f030
教育,【幼儿园】杏星幼儿园,fs0306f031
教育,【幼儿园】顺宝幼儿园,fs0306f032
教育,【小学】光辉小学,fs0306f033
教育,【中学】杏联中学,fs0306f034
教育,【幼儿园】光辉梁康阜幼儿园,fs0306f035
教育,【幼儿园】君怡幼儿园,fs0306f036
教育,【幼儿园】顺德区杏坛镇金海岸中英文幼儿园,fs0306f037
教育,【小学】上地小学,fs0306f038
教育,【幼儿园】正源幼儿园,fs0306f039
教育,【幼儿园】麦村幼儿园,fs0306f040
教育,【幼儿园】罗水幼儿园,fs0306f041
教育,【幼儿园】上地幼儿园,fs0306f042
教育,【小学】桑麻小学,fs0306f043
教育,【小学】麦村小学,fs0306f044
医疗,南方医科大学顺德医院附属杏坛医院,fs0306f045
交通,泰华路,fs0103f001
交通,昌荣路中,fs0103f002
交通,昌荣路南,fs0103f003
交通,玉带路中,fs0103f004
交通,玉带路北,fs0103f005
交通,绿地未来城公交首末站,fs0103f006
交通,塱沙二路,fs0103f007
交通,明星新村,fs0103f008
交通,玉带路白坭村,fs0103f009
交通,玉龙园,fs0103f010
交通,大江路口,fs0103f011
交通,张槎医院,fs0103f012
交通,下塱工业区,fs0103f013
交通,下塱管理区,fs0103f014
交通,张槎医院西,fs0103f015
商业,村尾商业城,fs0103f016
商业,金盛广场(府前路店),fs0103f017
教育,【小学】张槎中心小学,fs0103f018
教育,【幼儿园】禅城区上朗幼儿园,fs0103f019
教育,【中学】佛山市禅城区光正实验学校,fs0103f020
教育,【幼儿园】德佑幼儿园,fs0103f021
教育,【幼儿园】南沙湾幼儿园,fs0103f022
教育,【幼儿园】寨边幼儿园,fs0103f023
教育,【幼儿园】村尾幼儿园,fs0103f024
教育,【小学】东方村尾学校,fs0103f025
教育,【小学】光明小学,fs0103f026
教育,【幼儿园】罗村中心幼儿园,fs0103f027
